Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",EVERCARE HEALTH FUND FEEDER LP,,,"657,687",0.1289,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GLOBAL ENERGY EFFICIENCY AND RENEWABLE ENERGY FUND SICAV SIF,,,"2,307,002",0.4521,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD LTD S A 1,,,"1,386,003",0.2716,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A OCT 2020,,,"8,061",0.0016,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RENAISSANCERE MEDICI FD SERIES DI A SEP 2021,,,"1,930",0.0004,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",TRIODOS MICROFINANCE FUND CLASS I,,,"2,146,080",0.4205,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHTLIGHT IMPACT HOLDINGS PTY LTD,,,"831,481",0.1629,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFAC GROUP LTD CLASS B PREF SHARES,,,"811,277",0.1590,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CLOUDFACTORY SERIES C PREF SHARES,,,"1,015,557",0.1990,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AMP CAPITAL COMMUNITY INFRASTRUCTURE FUND WHOLESALE,,,"2,564,352",0.5025,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",ARTESIAN,,,"2,191,950",0.4295,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",AUSTRALIAN PRIME PROPERTY RETAIL EIULPS,,,"472,559",0.0926,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BRIGHT ENERGY FUND,,,"38,205",0.0075,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",BROOKFIELD INFRASTRUCTURE FUND IV-C LP,,,"1,758,279",0.3445,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CHARTER HALL PRIME INDUSTRIAL FUND,,,"1,560,552",0.3058,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CIRCULARITY EUROPEAN GROWTH FUND I LP,,,"2,204,667",0.4320,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",CSIRO INNOVATION FOLLOW ON FUND 2,,,"917,959",0.1799,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MAIN SEQUENCE,,,"802,771",0.1573,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",GENERATION IM SUSTAINABLE SOLUTIONS FUND IV B ILP,,,"-151,675",-0.0297,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFC CATALYST FUND LP,,,"345,563",0.0677,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",IFM AUSTRALIA INFRASTRUCTURE UNIT CLASS,,,"3,857,009",0.7558,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG EMERGING CONSUMER III LP,,,"3,256,720",0.6382,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LEAPFROG FINANCIAL INCLUSION FUND II LP,,,"987,629",0.1935,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN ASIA-PACIFIC PRIVATE EQUITY IV PLC,,,"1,455,980",0.2853,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECOND SPEC OPP II SCS CLASS A EI ONLY,,,"992,230",0.1944,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LGT CROWN SECONDARIES SPECIAL OPP II B EI ONLY,,,"307,654",0.0603,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",LIVELIHOOD IMPACT FUND L.P.,,,"733,631",0.1438,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MICROVEST II-A LP OFFSHORE FUND,,,"106,079",0.0208,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",MORRISON & CO,,,"7,134,590",1.3981,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",NEW FORESTS AUSTRALIA NEW ZEALAND FOREST FUND 3,,,"760,985",0.1491,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",PARTNERS GROUP LIFE 2018 SCA SICAV RAIF,,,"1,098,027",0.2152,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",PATAMAR FUND II LP,,,"908,529",0.1780,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RESOLUTION LIFE GROUP HOLDINGS LP,,,"7,071,661",1.3857,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",RIGHT CLICK CAPITAL,,,"3,362,161",0.6588,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SIGULER GUFF SUPERANNUATION 2019-2 SBOF III,,,"2,194,170",0.4300,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SIGULER GUFF SUPERANNUATION OPP FUND LP,,,"1,901,059",0.3725,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SOVEREIGN S CAPITAL II LP,,,"1,630,851",0.3196,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SOVEREIGNS CAPITAL III LP,,,"1,464,538",0.2870,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",SOVEREIGNS CAPITAL LP,,,"256,848",0.0503,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",STAFFORD SUSTAINABLE CAPITAL FUND,,,"393,671",0.0771,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",WOLLEMI CO-INVESTMENT FUND S.C.S.P EI ONLY,,,"2,777,731",0.5443,
EICLIO,31 Dec 2022,"Alternatives (Unlisted Alternatives, investment in non-associated entities, held directly or by associated entities or by PSTs, externally managed)",Total,,,"64,522,013",12.6435,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),DEXUS,AU000000DXS1,"376,687.0000","2,919,328",0.5721,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),GOODMAN GROUP,AU000000GMG2,"189,625.0000","3,291,883",0.6451,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),GPT GROUP,AU000000GPT8,"560,965.0000","2,356,051",0.4617,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),MIRVAC GROUP STAPLED SECURITIES,AU000000MGR9,"1,551,974.0000","3,305,705",0.6478,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),STOCKLAND,AU000000SGP0,"731,894.0000","2,656,775",0.5206,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),3P LEARNING LTD,AU0000003PL9,"283,424.0000","368,451",0.0722,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),AUSTRALIAN CLINICAL LABS LTD,AU0000148496,"66,623.0000","198,536",0.0389,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),AUSTRALIAN FINANCE GROUP LTD,AU000000AFG9,"140,770.0000","204,821",0.0401,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BLACKMORES ORD F/PD,AU000000BKL7,"27,660.0000","1,997,035",0.3913,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CAPITOL HEALTH LTD,AU000000CAJ0,"1,081,135.0000","345,963",0.0678,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),COGSTATE LIMITED,AU000000CGS8,"202,412.0000","396,727",0.0777,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),COSTA GROUP HOLDINGS LTD,AU000000CGC2,"590,512.0000","1,623,908",0.3182,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CREDIT CORP GROUP LIMITED,AU000000CCP3,"61,180.0000","1,150,183",0.2254,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CROMWELL PROPERTY GROUP,AU000000CMW8,"1,934,524.0000","1,296,131",0.2540,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),DOMAIN HOLDINGS AUSTRALIA LIMITED,AU000000DHG9,"773,917.0000","2,097,316",0.4110,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),EQT HOLDINGS LIMITED,AU000000EQT1,"22,046.0000","552,028",0.1082,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),G8 EDUCATION LTD,AU000000GEM7,"1,981,377.0000","2,189,421",0.4290,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),GRAINCORP LIMITED-A,AU000000GNC9,"220,796.0000","1,638,307",0.3210,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),HEALIUS LTD,AU0000033359,"965,576.0000","2,964,317",0.5809,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),HELIA GROUP LTD,AU0000251498,"859,652.0000","2,364,043",0.4632,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),INVOCARE LIMITED,AU000000IVC8,"152,606.0000","1,683,249",0.3298,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),IPH LIMITED,AU000000IPH9,"209,982.0000","1,833,146",0.3592,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),IRESS LTD,AU000000IRE2,"159,383.0000","1,522,111",0.2983,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),LINK ADMINISTRATION HOLDINGS,AU000000LNK2,"498,085.0000","983,717",0.1928,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),LINK ADMINISTRATION-INSPECIE DEFERRED DELIVERY,,"66,235.0000","637,548",0.1249,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),MACQUARIE TELECOM GROUP LTD ORD F/PD DS,AU000000MAQ4,"15,552.0000","925,340",0.1813,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),MEGAPORT LTD,AU000000MP15,"197,099.0000","1,243,692",0.2437,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NANOSONICS LIMITED,AU000000NAN9,"376,484.0000","1,615,118",0.3165,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NAPIER PORT HOLDINGS LTD,NZNPHE0005S2,"292,139.0000","765,591",0.1500,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NITRO SOFTWARE LTD,AU0000067654,"120,435.0000","267,367",0.0524,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),OFX GROUP LIMITED,AU000000OFX5,"150,743.0000","358,769",0.0703,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),OPTHEA LTD,AU000000OPT2,"180,003.0000","164,703",0.0323,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),PENDAL GROUP LTD,AU0000009789,"321,121.0000","1,608,818",0.3153,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),PEPPER MONEY LTD/AU,AU0000150898,"224,917.0000","319,383",0.0626,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),PERPETUAL LIMITED,AU000000PPT9,"65,032.0000","1,599,780",0.3135,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),RESIMAC GROUP LTD,AU0000033094,"115,782.0000","118,677",0.0233,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),TYRO PAYMENTS LTD,AU0000066508,"888,468.0000","1,257,183",0.2464,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ALLKEM LTD,AU0000193666,"199,400.0000","2,241,258",0.4392,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ALS LIMITED,AU000000ALQ6,"153,929.0000","1,882,551",0.3689,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ALTIUM LTD,AU000000ALU8,"60,211.0000","2,112,214",0.4139,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ANSELL LIMITED,AU000000ANN9,"121,385.0000","3,427,899",0.6717,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ATLAS ARTERIA LTD,AU0000013559,"278,224.0000","1,839,059",0.3604,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),AVZ MINERALS LTD EI CLIENT CODE,AU000000AVZ6,"16,873.0000",337,0.0001,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BANK OF QUEENSLAND LIMITED,AU000000BOQ8,"562,651.0000","3,882,289",0.7608,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BENDIGO AND ADELAIDE BANK LIMITED,AU000000BEN6,"373,713.0000","3,666,129",0.7184,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BORAL LIMITED,AU000000BLD2,"580,310.0000","1,677,097",0.3286,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CHALLENGER LIMITED,AU000000CGF5,"248,649.0000","1,894,702",0.3713,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CHARTER HALL LIMITED STAPLED SECURITY,AU000000CHC0,"202,674.0000","2,428,034",0.4758,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CLEANAWAY WASTE MANAGEMENT LTD,AU000000CWY3,"841,684.0000","2,213,628",0.4338,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CONTACT ENERGY LTD,NZCENE0001S6,"605,332.0000","4,352,596",0.8529,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CSR LIMITED ORD F/PD SHARES,AU000000CSR5,"342,584.0000","1,613,572",0.3162,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),DOWNER EDI LIMITED,AU000000DOW2,"508,654.0000","1,887,106",0.3698,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),FLETCHER BUILDING LIMITED,NZFBUE0001S0,"624,223.0000","2,747,779",0.5384,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),HUB24 LTD,AU000000HUB4,"67,300.0000","1,789,495",0.3507,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),IDP EDUCATION LTD,AU000000IEL5,"89,492.0000","2,432,395",0.4766,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),INSIGNIA FINANCIAL LTD ORDINARY FULLY PAID,AU000000IFL2,"338,803.0000","1,134,991",0.2224,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),LENDLEASE GROUP,AU000000LLC3,"246,520.0000","1,932,717",0.3787,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),MEDIBANK PRIVATE LTD,AU000000MPL3,"1,106,745.0000","3,264,897",0.6398,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),MERCURY NZ LTD,NZMRPE0001S2,"417,016.0000","2,162,358",0.4237,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NETWEALTH GROUP LTD,AU000000NWL7,"137,066.0000","1,658,493",0.3250,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NEXTDC LIMITED,AU000000NXT8,"205,468.0000","1,869,757",0.3664,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NIB HOLDINGS LTD,AU000000NHF0,"309,286.0000","2,396,965",0.4697,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),NINE ENTERTAINMENT CO HOLDINGS,AU000000NEC4,"788,959.0000","1,451,685",0.2845,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ORORA LTD,AU000000ORA8,"901,910.0000","2,606,520",0.5108,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),PEXA GROUP LTD,AU0000158594,"57,667.0000","689,119",0.1350,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),QUBE HOLDINGS LTD,AU000000QUB5,"953,980.0000","2,680,685",0.5253,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),REECE LIMITED       ORD F/PD,AU000000REH4,"62,235.0000","880,623",0.1726,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),RELIANCE WORLDWIDE CORP LTD,AU000000RWC7,"577,156.0000","1,708,381",0.3348,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),SEEK LIMITED,AU000000SEK6,"119,647.0000","2,506,608",0.4912,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),SIMS LTD,AU000000SGM7,"155,248.0000","2,032,195",0.3982,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),SPARK NEW ZEALAND LIMITED,NZTELE0001S4,"438,959.0000","2,210,639",0.4332,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),STEADFAST GROUP LTD,AU000000SDF8,"423,832.0000","2,318,363",0.4543,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),TECHNOLOGY ONE LTD,AU000000TNE8,"150,342.0000","1,975,499",0.3871,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),TPG TELECOM LTD TPM-VHA MERGED COMPANY DEFERRED DELIVERY,AU0000090128,"518,383.0000","2,534,894",0.4967,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),WEBJET LIMITED,AU000000WEB7,"333,607.0000","2,061,691",0.4040,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),ANSARADA GROUP LIMITED,AU0000124422,"48,227.0000","67,518",0.0132,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),AUSTCO HEALTHCARE LTD,AU0000120818,"621,405.0000","74,569",0.0146,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),AUSWIDE BANK LTD,AU000000ABA1,"36,222.0000","215,521",0.0422,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BIGTINCAN HOLDINGS LTD,AU000000BTH6,"882,504.0000","467,727",0.0917,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),BRAVURA SOLUTIONS LTD,AU000000BVS9,"306,482.0000","216,167",0.0424,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),CYCLOPHARM LIMITED,AU000000CYC5,"98,030.0000","114,695",0.0225,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),EROAD LTD,NZERDE0001S5,"103,763.0000","89,343",0.0175,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),EUREKA GROUP HOLDINGS LIMITED,AU000000EGH7,"211,838.0000","100,623",0.0197,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),GENTRACK GROUP LTD,NZGTKE0002S9,"147,495.0000","349,627",0.0685,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),HIPAGES GROUP HOLDINGS LTD,AU0000112104,"60,517.0000","58,096",0.0114,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),IMMUTEP LTD,AU000000IMM6,"723,363.0000","198,925",0.0390,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),IMPEDIMED LIMITED,AU000000IPD8,"1,410,498.0000","111,429",0.0218,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),LIMEADE INC-CDI,AU0000069171,"275,601.0000","85,436",0.0167,
EICLIO,31 Dec 2022,Australian Shares (Listed equity),LIVETILES LIMITED,AU000000LVT6,"378,132.0000","10,966",0.0021,
